,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
343581,2.6,1.7435595774162693,5.4,5.9194594347794975,3.6,2.4166091947189146,9.6,17.23484841824842,4.6,4.454211490264018,0.6,0.7999999999999999,5.6,3.2619012860600183,0.6,0.7999999999999999,1.0,2.0,3.0,2.1908902300206643,1.6,1.624807680927192,2.0,2.6076809620810595
336810,0.4,0.48989794855663565,3.2,3.54400902933387,0.8,0.7483314773547883,2.0,1.6733200530681511,3.0,3.5777087639996634,1.0,1.2649110640673518,4.8,9.6,3.4,4.454211490264018,3.2,4.534313619501853,2.8,3.655133376499413,2.0,3.521363372331802,1.6,2.244994432064365
185550,1.2,1.4696938456699067,8.4,11.253443917308159,1.6,2.0591260281974,2.4,3.1999999999999997,3.4,5.3516352641038605,0.4,0.8000000000000002,0.8,1.6000000000000003,0.6,0.48989794855663565,1.6,1.3564659966250538,1.4,1.3564659966250538,6.0,6.663332499583072,1.4,1.7435595774162693
263111,5.0,5.621387729022079,84.4,167.80178783314557,25.6,48.21866858385868,1.8,1.469693845669907,18.8,31.179480431848123,0.0,0.0,1.0,2.0,5.6,2.4166091947189146,1.8,2.638181191654584,20.4,31.959974968701086,7.6,11.49956520917204,9.0,8.270429251254134
264489,0.2,0.4000000000000001,54.6,64.66096194768525,3.4,6.3118935352238,9.6,10.40384544291196,10.8,7.35934779718964,0.0,0.0,0.6,0.7999999999999999,23.4,33.873883745446136,6.8,8.657944328765344,0.0,0.0,8.0,13.535139452550904,0.0,0.0
2897325,6.2,4.1182520563948,12.2,13.13620949893842,7.2,7.249827584156743,1.8,1.9390719429665317,16.0,15.658863304850707,2.2,2.039607805437114,9.6,8.522910301065007,4.6,2.870540018881465,11.0,10.373041983911952,9.0,4.560701700396552,2.0,2.280350850198276,4.2,3.4292856398964493
312515,0.6,0.7999999999999999,12.2,21.949031869310318,2.6,2.3323807579381204,2.8,1.469693845669907,4.2,4.166533331199932,2.8,1.7204650534085253,4.8,3.7094473981982814,1.0,1.5491933384829668,4.2,2.7129319932501073,14.6,22.99217258111986,0.6,0.7999999999999999,3.8,4.019950248448356
177414,0.4,0.48989794855663565,0.8,1.1661903789690602,1.6,2.7276363393971716,4.6,6.770524351924303,1.6,1.019803902718557,0.2,0.4,0.4,0.48989794855663565,1.6,1.624807680927192,0.4,0.48989794855663565,1.4,1.9595917942265424,0.2,0.4,0.8,1.6
556126,24.6,30.030651008594536,36.0,25.87663038341739,47.2,32.50476888088885,102.2,50.15735240221517,97.6,148.1669328831504,158.2,128.59144606077032,102.0,82.9023521982338,12.0,11.575836902790225,87.2,83.415586073587,13.6,16.475436261295176,43.6,33.260186409579845,38.8,63.782129158566036
188697,0.2,0.4000000000000001,0.2,0.4000000000000001,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,20.4,29.567549780122125,0.0,0.0,0.0,0.0,2.4,4.31740662898458,1.8,3.124099870362662,0.6,1.2000000000000002,17.6,24.088171371027734
228601,127.2,71.69211951114292,58.0,55.666866267107224,70.8,34.59710970586995,43.4,38.50506460194555,729.0,644.0344711271284,5.0,9.033271832508971,289.2,191.20502085457903,56.4,84.9861165132282,196.4,67.18809418341914,311.4,244.45989446123878,29.8,23.676148335402868,505.2,689.3438619440954
355175,2.0,1.2649110640673518,2.8,3.7629775444453557,0.8,1.1661903789690602,0.0,0.0,7.0,3.1622776601683795,0.0,0.0,2.4,1.8547236990991407,0.4,0.8000000000000002,1.0,1.5491933384829668,0.6,0.7999999999999999,0.2,0.4,1.2,1.1661903789690602
